,0.0,-0.25,0.0
92*false,0.0,0.0,0.0
-27*false,-17.463817611144577,0.1578229700977712,32.51685138126502
9*false,-37.36502980851502,18.097779882497733,111.153110748418
141*true,-10.0,0.0,5.0
-173*false,0.0,0.0,0.0
32*true,-6.981893338152888,0.0,2.3751422160381326
-14*false,-25.335931793989968,11.426074210526611,49.20063440836268
-67*false,-9.775,-0.4875,9.984446122583368
-12*true,-18.47794570357157,3.1690859307522903,88.90569865823187
-127*true,-10.0,0.0,0.0
52*false,0.0,-0.24839278291575229,0.0
15*true,-1.9966611095122673,2.9293848635752195,44.59781311980319
12*false,-39.996779427950386,12.384182785343075,52.98525684495252
-2*false,7.021128868057475,37.13931366364744,104.97243523707145
2*true,63.41646357858432,24.31324261149575,127.95479856262529
-106*false,-10.0,0.0,5.2250000000000005
-111*true,0.0,0.0,0.0
-94*false,0.0,0.0,0.0
25*false,0.28621360788228434,0.08280382976939529,36.009671214409366
-24*true,-17.75472809141099,1.7309379202763298,14.32208135587777
-91*true,-10.0,-0.26187499999999997,0.225
-57*true,0.0,0.0,0.0
-86*true,0.0,-0.23992562500000003,0.0
-144*true,0.0,-0.25,5.0
124*true,-10.0,0.0,0.21375000000000002
151*false,0.0,-0.25,0.0
44*true,0.0,-0.4684734711912088,13.448198120509106
84*false,0.0,0.0,5.2250000000000005
19*true,-36.47912497489372,3.3406798585132638,20.37936190656677
-35*false,-7.468839874786045,0.0,6.69841159743683
-177*true,0.0,0.0,5.0
-75*false,-10.0,0.0,5.0
44*false,-16.089720944887613,0.0,0.0
-81*false,-10.0,-0.25,0.0
-62*true,0.0,0.225,0.0
60*false,0.0,2.0434312499188523,0.0
-19*false,-53.73096932664651,11.20589321233186,27.59383428245697
-59*false,-10.0,0.0,5.227939755280207
-123*true,0.0,0.0,0.0
4*false,-52.84060547837918,16.56881142417359,125.03671709803976
118*false,-10.0,0.0,0.0
73*true,-10.0,0.0,0.0
-45*true,0.0,-0.0023749999999999605,0.0
20*true,14.009975920677492,17.20997678651416,41.64381049521043
-99*false,-10.0,-0.25,0.0
-74*true,0.0,0.0,5.0
61*true,0.0,-0.025,0.0
-148*true,0.0,0.0,5.0
20*false,-5.25714692002314,13.201839986108261,57.18701805870445
48*true,-18.51875609062597,0.0,0.0
78*false,0.0,-0.25,0.0
-41*false,0.0,0.0,6.75008893565063
89*true,0.0,-0.25,0.0
38*false,0.0,0.04163352228576905,0.0
31*false,-16.900738474125166,0.812269768437099,0.0
-36*true,0.0,0.33448156250000005,0.0
-70*false,0.225,0.0,0.0
174*true,-10.0,0.0,0.0
-88*false,0.4493000755162516,0.0,5.0
71*false,-10.0,0.0,0.0
164*false,-10.0,0.0,5.0
-20*false,-34.54724429855747,13.531385244086568,26.417497412252366
178*true,0.0,0.0,0.0
-95*true,-9.764875000000002,0.0,0.0
89*false,-10.0,0.0,0.0
133*true,0.0,-0.25,0.0
-48*true,-10.0,0.0,0.0
103*false,0.0,0.0,5.027286110478906
40*true,27.867328433718882,0.0,7.0171657492913955
85*true,-19.5,0.0,9.803424442593922
-65*true,0.0,0.0,9.963750000000001
-120*true,0.0,0.0,0.0
