,-1.153876784830188,0.0,0.0,0.0
3*5-1,-652.7484434035756,-35.344889226668315,-321.9311538925487,-40.51077872118045
3*5-2,-417.38623798171693,-39.86105629134611,-71.70787372343376,-22.943463087781492
3*5-0,-355.08413174532404,-34.193570005801995,-145.46722806866134,-94.79492725256833
3*5-5,-188.8855188132332,-183.04664759119203,-27.091083943536063,-116.23145985084976
3*5-6,-160.9779503318031,-45.687149077123486,-32.09343303216144,-138.4468386726063
3*5-3,-113.79361959458228,-22.56802083101165,-35.602449397028266,-132.45725430622147
3*5-4,-257.3457327575956,-133.67076503099057,-28.405236975017075,-77.57526771030332
3*5-9,-35.42126302899576,-163.525324379442,-64.64254762848223,-281.54736493545255
3*5-7,-39.56103300542412,-175.65821722704425,-86.12955351364253,-536.157355568392
3*5-8,-123.10944768335447,-451.8167414194605,-31.434228312233202,-497.75907450562875
4*3-0,-30.07717741716642,-29.19090884429636,-32.99044773742041,-15.810758218803656
4*3-1,-25.073439142171527,-31.496198762808692,-88.39735007904935,-29.08349132217097
4*3-2,-29.73480186476585,-32.51940234043146,-32.38871607606711,-32.18533994324765
4*3-3,-28.229278889799012,-26.759633151235278,-176.47633433340582,-27.496600028949445
4*3-4,-31.950926724105873,-30.984813715067055,-89.10948704436166,-30.52291531124764
4*3-5,-233.53336738072184,-27.73101286619169,-26.51795798857058,-24.939764407970063
5*1-9,-39.200140019901504,-39.788661481913685,-66.39272822243615,-247.9093491399868
4*3-6,-146.76196254195358,-27.874494974609558,-28.063171309809228,-21.81186062512773
4*3-7,-29.20799810961934,-22.568628545519946,-27.91973908691222,-27.929747913602966
4*3-8,-23.61839497335847,-28.504104384354406,-27.943286044881287,-25.96877837184899
5*1-7,-161.64408039556398,-42.81746441165685,-56.638669557735675,-35.92384992605145
4*3-9,-28.88620223486686,-33.585460437902654,-34.32375538593394,-49.09500860339505
5*1-8,-76.78327099060853,-33.995545411968614,-199.57558560658237,-63.45941253985123
