,41.01985139001448,0.0,0.0
92*false,885.4544607910451,990.3087518353216,1106.7364820958471
-27*false,905.2423070757794,1040.7261925878513,1188.2847138495165
-120*false,870.5131075039304,984.0524851908117,1101.7837110204043
9*false,921.0134707938738,1081.363214253961,1261.1954905553532
141*true,780.8748175735374,1059.4845434014087,1169.1941800764416
-173*false,864.8592187996479,950.2622212533063,1096.2397755734103
77*true,817.3429382042003,1114.4357093582985,1264.8797940163558
32*true,909.5158903849817,1137.0705752784866,1321.5493483588293
-133*false,861.9531209625153,976.9330274692112,1096.041697253183
-14*false,933.3991009475146,1035.2470466744585,1195.6752838688228
-67*false,893.0854744049794,1024.5493833239937,1149.986622165751
-12*true,1070.7887617054298,1137.807875850289,1320.664574480778
-127*true,791.4297300624996,1068.1430111178001,1181.8426097934505
65*false,888.8780237498853,992.8664000006938,1115.3709607497967
-146*false,846.0278253182098,975.5707175246015,1096.7325010153886
52*false,906.2774010618292,1000.7391118378761,1129.1925691411527
15*true,1054.394659768117,1144.9344926074882,1347.702451966061
-2*false,987.9820234294306,1063.0647658658256,1229.7918555858967
12*false,956.0784747880616,1036.909592291854,1217.9073536004325
-173*true,780.5979807854316,990.4820067831976,1125.203561613081
2*true,1138.9440893771477,1143.1475109974058,1375.2153201490726
157*true,776.2524725418766,1042.633753408117,1166.4140920552234
-106*false,872.3957342146953,993.5191419611011,1125.156988241503
-111*true,799.922864296039,1080.923169295554,1203.5587066910632
-94*false,868.5222325479812,1009.1464396415314,1123.8009665185132
-54*false,904.8214911372554,1026.0288256073468,1159.1597257867902
25*false,928.7727135875024,1039.6085713690816,1169.050256324231
-24*true,989.12339160876,1133.2341663015816,1311.5844833007018
-139*true,797.1256286743002,1050.9235501698097,1172.6916166133453
-91*true,815.310494997455,1098.7993650526619,1231.5049544431872
-57*true,819.7920848922186,1127.50345268228,1277.6991750916218
137*false,873.5802745976623,978.1320370977277,1097.0234759521697
177*false,885.2498884173477,955.5783457831178,1084.6920702294253
-86*true,815.0143409962537,1120.540880080014,1241.170617406375
111*false,866.9495299537114,977.6939737745738,1096.89120863388
-144*true,789.8917345334823,1052.388337153908,1169.5376143318153
-138*false,882.5658185421036,976.1278654387947,1102.3725614910588
-160*false,888.8915896297623,972.0009619576373,1087.6696807120034
124*true,787.1027982262259,1071.5931259261774,1191.4414520009052
151*false,839.5177581835738,970.3354452803675,1103.7179214972055
44*true,815.8811724609536,1123.8502484918215,1295.5835450972152
-132*true,792.9407182802132,1062.605368824249,1176.1755890013283
158*false,859.8765608832018,974.1677895791285,1096.9259011950096
136*true,779.6461186913401,1067.7391472337058,1181.80302366754
84*false,910.4557758778682,992.1125187988474,1115.7679949126295
19*true,1019.8957560305284,1150.7265313809892,1338.8706096082738
-35*false,885.5813309561673,1045.6430551953988,1188.3726365491523
-177*true,791.3527803304358,985.3435622925742,1127.8903964428307
-75*false,869.6195959921955,1007.8010731420666,1151.944083928055
-81*false,863.537658211204,1015.9568487199746,1128.68381308137
44*false,907.6236502770411,1005.471492842273,1122.265102113108
-62*true,819.3461533658718,1124.827121503117,1273.1695705569584
60*false,887.6594712812343,997.6365679581455,1128.622709674588
145*true,775.3531312732632,1050.3695534220321,1172.4223710393455
-19*false,918.7313485844214,1042.4315809488312,1187.5859571550998
-59*false,898.7106540103058,1034.6070015177286,1164.946648673875
-123*true,797.2622781741672,1075.4288004076907,1191.3860466363349
4*false,926.5633643587499,1055.2167058338232,1221.0525394294689
118*false,884.6610313926706,968.2290839910462,1092.0213831043532
73*true,815.1298816215755,1120.8629886150252,1253.0235902599136
-45*true,821.3470115231191,1118.7449930548862,1291.8243088741056
20*true,1264.6125345269518,1139.9547836767463,1345.717883045636
124*false,875.7717686379998,972.5871579685428,1118.1978511120851
-99*false,881.6643269000174,1000.390843551573,1123.952165650723
-74*true,817.9728531355937,1117.3584556569351,1253.6574889575877
107*true,792.6787922568373,1099.577252290929,1221.602742842263
61*true,815.2286392985835,1129.7553602758005,1271.7270374013287
120*true,785.0760299198274,1079.339759147244,1201.8452106919012
-148*true,783.6767070056319,1045.1295403177828,1161.7216634102676
20*false,973.6245598781086,1047.3117402952264,1183.244609388841
-161*true,754.577902019446,987.6808882916367,1138.6063757596958
48*true,846.231542392298,1127.2534299534634,1285.5524418441366
78*false,912.1080628420309,993.1440727153316,1111.5466446734947
-41*false,890.100124835872,1029.7639855979055,1180.83288133771
89*true,803.681488707474,1103.9853773208945,1234.6494921500637
38*false,921.3774653137782,1018.2958278701826,1143.0205939214804
-48*false,903.828047219199,1020.0503243934706,1179.9482389475845
31*false,904.3235981136613,1031.5084569555506,1159.5441466579634
-36*true,949.1072521189233,1118.9089910648415,1323.463891215189
-70*false,896.6957859893646,1017.2954235592933,1136.8369512174254
174*true,775.1043840227074,993.2682822277532,1137.4003797167547
-88*false,887.7694392466149,1006.5565263245036,1128.1362647226033
71*false,886.7458211558852,999.3696132714041,1129.088527975738
164*false,897.0891414596423,951.1388172546738,1082.1255500050725
-20*false,910.4252077807321,1041.8432688337407,1189.5626187673224
-95*true,810.4164609492998,1106.5154080781713,1221.9037966410128
178*true,785.7623129801698,992.9249941052088,1121.1565117307584
89*false,875.1604126847415,990.0316223047869,1119.346848982552
133*true,777.984797118553,1066.1128333643746,1187.6563965837706
153*false,861.9418424367497,971.02645526755,1103.4378706023156
59*false,895.177683617783,1004.4827621878624,1127.3741641116867
-118*true,826.5929050695964,1076.16913430601,1197.0142920484932
-48*true,820.1840106605467,1131.8896784993067,1292.8935049867528
103*false,874.018006561665,977.0739122487674,1093.006393755393
40*true,850.8670009917807,1133.411301417085,1309.903758113089
85*true,804.7697605865253,1115.906836705651,1251.9275760556297
-65*true,826.8620723700706,1117.5929486804157,1262.1395848740478
-119*true,804.2711661377842,1078.5671683460257,1195.4288449238254
130*false,885.1140992766439,966.7922424198416,1105.0037104798466
-120*true,817.8792149719644,1073.101837433534,1198.2957348046048
-114*false,858.7196514994375,1001.0945556236936,1118.4086886173
70*true,812.4907672494018,1114.598375858384,1276.4862552251823
-165*true,780.0603842423548,993.4910153586809,1130.7286683626778
140*false,885.1428519300232,967.0973140687381,1109.7169897896104
-50*true,832.7991895366032,1125.5978073758881,1288.5156977898241
10*false,928.349189599122,1049.5934507525217,1222.881997001056
-46*false,898.1326910163548,1026.5772128056747,1176.0585555067962
-144*false,847.4549073499875,987.7068080139206,1093.3602861810693
-32*true,929.3061777887117,1130.9781631195463,1285.0559229700912
-103*true,805.3876908142752,1088.9837645609034,1218.4723552732814
-69*false,896.6190867539004,1021.9427219826244,1139.6281789555458
33*false,908.132735467091,1029.2349604235849,1155.1624678461467
162*true,763.5424308608698,996.5069672990328,1131.6574770130348
-94*true,814.9996262549134,1104.7311645802154,1237.0920349546964
149*true,784.1800966332847,1051.2901153240628,1164.1560618139483
-9*false,950.6693031855561,1054.8239706710272,1286.9022030804497
11*true,1061.1750927278988,1146.2668203561138,1343.9529103757548
-167*false,896.9159774428811,950.830464622236,1087.2437905243667
-19*true,1030.3199855320038,1139.761077941284,1321.9224376599332
41*false,878.7312266785032,1021.2715061103768,1150.1217060381593
116*true,795.9625760196811,1081.8469506934014,1202.137535974227
-147*true,787.3237676393384,1049.9312841961023,1168.8238014520698
126*false,912.6226051121959,971.8161571237068,1096.4562265643733
-112*false,880.2241349952437,1001.6160873494249,1121.3804900680543
-136*true,785.6143650023728,1054.50978966183,1175.7365911929562
-38*false,904.3549486873917,1042.4467077102886,1171.4913933804373
-21*true,1059.0109330500636,1126.5263763109972,1332.0030262592293
129*false,882.1088509158757,987.1667215532045,1109.5684250262211
36*true,932.7753210424704,1137.007047157437,1302.1155896992796
-43*false,885.5228070199988,1040.7550413080994,1169.6433109860886
41*true,848.3946717921236,1135.0003929310014,1302.0675816162359
36*false,902.9769166098441,1019.4677609192723,1151.1957164644155
161*false,909.0029195539878,957.5515690325944,1090.0446547465333
-28*true,913.1330319391436,1123.9932821047498,1314.852026227814
-70*true,814.8546056384363,1113.8916383064309,1260.343240662042
-4*true,1214.4087660178639,1161.94497624221,1278.8236614278826
27*true,971.3426967469627,1125.3393610643716,1312.6764022907994
-140*true,788.5342654610134,1055.9847054343672,1165.599286555997
57*false,876.0604437760562,1005.9873530087118,1132.9769331442133
-109*false,876.3398585524861,1000.9178467892355,1120.3440990115903
-37*true,864.1480329969983,1126.442022751963,1295.9199806865838
100*true,813.9525513332375,1111.8774267880826,1223.8853037482636
90*false,912.5484039557658,993.9893333325388,1110.232190920512
-131*true,792.2709229135503,1060.7848920150261,1181.2044905695236
-22*false,936.9494148347005,1037.7565484259226,1187.2499566659367
18*true,917.5418586415713,1142.5626195927537,1326.5113503146813
-3*true,1132.5236451181236,1134.6390052852573,1385.0261623440526
153*true,771.4167029459798,1045.9943266335415,1168.4061747133123
-159*false,871.1836572417373,995.3669249896932,1105.3743848404874
7*false,969.9560730049034,1045.1297639862585,1204.018233207976
-141*false,860.8783382239037,970.837710258007,1094.533857237861
-171*false,901.1618291454288,947.7338746584467,1080.2287880119575
105*false,874.1952787930469,974.7740226465335,1094.5873223732935
12*true,1041.5588370485896,1136.401970750092,1318.9540453111445
65*true,815.6077320095586,1127.9152006826102,1265.8799421389672
115*true,803.1056725021612,1082.2648296049715,1212.4253798469674
-7*false,900.9051372738211,1038.9646072323926,1202.6334709776097
56*true,823.8184077875759,1120.8885224057449,1284.8896203868032
-16*false,923.2905635323984,1032.9948745308402,1191.5079877410626
-156*true,787.5539108156448,1047.7621803608768,1160.4590601942186
63*false,872.3944035432108,1002.4144000470432,1123.9635244249357
-136*false,847.8866513361605,980.9397651770403,1096.2361014941473
6*false,925.6292415025285,1049.8440783611618,1233.0889464030888
132*false,849.9102971615438,965.2050200746278,1087.8122407985086
-108*false,859.5975464656108,1011.0257203703432,1118.9013827322435
6*true,1034.2517161348828,1129.7807067130168,1296.9420358069567
169*true,765.1897191918586,1003.5899713508627,1143.1879815856648
-41*true,825.5815206338257,1127.5652834340078,1295.647293402329
-170*false,889.422123699274,952.5512855714612,1089.7615284005424
-96*false,892.4133691252686,999.4489307987936,1124.9703473273748
156*false,883.9930668208435,977.9683033596241,1088.0313822417104
-102*true,820.1253848424609,1096.5085836057076,1214.8772539742515
94*true,797.7556039703794,1109.7511799288882,1229.72882717095
